CONTRACT,SPY PRICE,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE,PRICEOPEN,PRICECLOSE,ROI %,INFLATION%,y,VIX PRICE
428.0 2022-03-18,420.94,3/18/2022,4.27,0.31493,0.02462,0.17527,-0.51996,0.0177,0.29262,0,2.95,428,0.017,7.06,2.95,8.05,172.8813559,0.8,5.0,31.07
429.0 2022-03-18,420.94,3/18/2022,4.27,0.28958,0.02384,0.16813,-0.4961,0.01588,0.29075,4,2.52,429,0.019,8.06,2.52,7.14,183.3333333,0.8,5.0,31.07
430.0 2022-03-18,420.94,3/18/2022,4.27,0.26369,0.02312,0.16052,-0.46572,0.01439,0.28727,7,2.17,430,0.022,9.06,2.17,6.67,207.3732719,0.8,5.0,31.07
431.0 2022-03-18,420.94,3/18/2022,4.27,0.23985,0.02217,0.15301,-0.4363,0.01348,0.28445,1,1.9,431,0.024,10.06,1.9,5.77,203.6842105,0.8,5.0,31.07
432.0 2022-03-18,420.94,3/18/2022,4.27,0.21638,0.02108,0.14456,-0.4059,0.01227,0.28259,1,1.69,432,0.026,11.06,1.69,5.27,211.8343195,0.8,5.0,31.07
433.0 2022-03-18,420.94,3/18/2022,4.27,0.19567,0.01995,0.13604,-0.3795,0.01149,0.28164,4,1.47,433,0.029,12.06,1.47,4.54,208.8435374,0.8,5.0,31.07
434.0 2022-03-18,420.94,3/18/2022,4.27,0.174,0.01871,0.12657,-0.34669,0.00961,0.27809,0,1.32,434,0.031,13.06,1.32,3.92,196.969697,0.8,5.0,31.07
435.0 2022-03-18,420.94,3/18/2022,4.27,0.15609,0.01754,0.11752,-0.31861,0.00834,0.27703,5,1.09,435,0.033,14.06,1.09,3.35,207.3394495,0.8,5.0,31.07
418.0 2022-03-18,421.32,3/18/2022,4.25,0.58677,0.02494,0.19175,-0.62258,0.03101,0.3189,270,7.76,418,0.008,-3.32,7.76,16.46,112.1134021,0.8,5.0,31.09
419.0 2022-03-18,421.32,3/18/2022,4.25,0.56224,0.02541,0.19355,-0.62692,0.03019,0.31666,276,7.31,419,0.006,-2.32,7.05,15.33,117.4468085,0.8,5.0,31.09
420.0 2022-03-18,421.32,3/18/2022,4.25,0.53676,0.02573,0.19507,-0.62757,0.02867,0.31421,617,6.72,420,0.003,-1.32,6.41,15.0,134.0093604,0.8,5.0,31.09
421.0 2022-03-18,421.32,3/18/2022,4.25,0.51093,0.02624,0.19613,-0.62683,0.02786,0.31167,427,6.14,421,0.001,-0.32,5.98,13.74,129.7658863,0.8,5.0,31.09
422.0 2022-03-18,421.32,3/18/2022,4.25,0.48452,0.02645,0.19555,-0.61897,0.02661,0.30742,752,5.6,422,0.002,0.68,5.48,13.11,139.2335766,0.8,5.0,31.09
423.0 2022-03-18,421.32,3/18/2022,4.25,0.45687,0.02659,0.19503,-0.6102,0.02512,0.30448,579,5.15,423,0.004,1.68,4.99,11.94,139.2785571,0.8,5.0,31.09
424.0 2022-03-18,421.32,3/18/2022,4.25,0.43029,0.02655,0.19302,-0.59682,0.02326,0.30038,242,4.6,424,0.006,2.68,4.44,11.1,150.0,0.8,5.0,31.09
425.0 2022-03-18,421.32,3/18/2022,4.25,0.40256,0.02643,0.19032,-0.58206,0.02167,0.29811,789,4.13,425,0.009,3.68,4.07,11.1,172.7272727,0.8,5.0,31.09
426.0 2022-03-18,421.32,3/18/2022,4.25,0.37585,0.02612,0.18655,-0.5665,0.02052,0.29612,323,3.53,426,0.011,4.68,3.62,9.67,167.1270718,0.8,5.0,31.09
427.0 2022-03-18,421.32,3/18/2022,4.25,0.34824,0.02571,0.18172,-0.54468,0.01909,0.29304,487,3.31,427,0.013,5.68,3.22,8.69,169.8757764,0.8,5.0,31.09
428.0 2022-03-18,421.32,3/18/2022,4.25,0.32176,0.02521,0.17615,-0.52055,0.01802,0.28954,412,2.82,428,0.016,6.68,2.95,8.05,172.8813559,0.8,5.0,31.09
429.0 2022-03-18,421.32,3/18/2022,4.25,0.29546,0.02445,0.17034,-0.49641,0.01602,0.28655,183,2.65,429,0.018,7.68,2.52,7.14,183.3333333,0.8,5.0,31.09
430.0 2022-03-18,421.32,3/18/2022,4.25,0.27046,0.02367,0.16248,-0.46947,0.01496,0.28494,1999,2.27,430,0.021,8.68,2.17,6.67,207.3732719,0.8,5.0,31.09
431.0 2022-03-18,421.32,3/18/2022,4.25,0.24595,0.02272,0.15551,-0.4416,0.01346,0.28297,220,1.99,431,0.023,9.68,1.9,5.77,203.6842105,0.8,5.0,31.09
432.0 2022-03-18,421.32,3/18/2022,4.25,0.22244,0.02167,0.14635,-0.41125,0.01208,0.28023,199,1.66,432,0.025,10.68,1.69,5.27,211.8343195,0.8,5.0,31.09
433.0 2022-03-18,421.32,3/18/2022,4.25,0.19996,0.02053,0.13736,-0.3803,0.01156,0.27744,308,1.45,433,0.028,11.68,1.47,4.54,208.8435374,0.8,5.0,31.09
434.0 2022-03-18,421.32,3/18/2022,4.25,0.17883,0.01926,0.12845,-0.35055,0.00963,0.2755,62,1.2,434,0.03,12.68,1.32,3.92,196.969697,0.8,5.0,31.09
435.0 2022-03-18,421.32,3/18/2022,4.25,0.15974,0.01795,0.12005,-0.32378,0.00905,0.27507,706,1.13,435,0.032,13.68,1.09,3.35,207.3394495,0.8,5.0,31.09
418.0 2022-03-18,422.76,3/18/2022,4.23,0.62341,0.02449,0.18682,-0.60035,0.03216,0.31616,629,8.81,418,0.011,-4.76,7.76,16.46,112.1134021,0.8,5.0,30.5
419.0 2022-03-18,422.76,3/18/2022,4.23,0.59882,0.02516,0.19022,-0.60942,0.03116,0.31401,1149,8.34,419,0.009,-3.76,7.05,15.33,117.4468085,0.8,5.0,30.5
420.0 2022-03-18,422.76,3/18/2022,4.23,0.57399,0.0256,0.1933,-0.61672,0.03062,0.31258,1182,7.56,420,0.007,-2.76,6.41,15.0,134.0093604,0.8,5.0,30.5
421.0 2022-03-18,422.76,3/18/2022,4.23,0.54794,0.02613,0.19533,-0.61782,0.02926,0.30884,1246,6.86,421,0.004,-1.76,5.98,13.74,129.7658863,0.8,5.0,30.5
422.0 2022-03-18,422.76,3/18/2022,4.23,0.52175,0.02652,0.19582,-0.61705,0.02843,0.30559,1336,6.27,422,0.002,-0.76,5.48,13.11,139.2335766,0.8,5.0,30.5
423.0 2022-03-18,422.76,3/18/2022,4.23,0.49487,0.02682,0.19682,-0.61302,0.02635,0.30305,1027,5.71,423,0.001,0.24,4.99,11.94,139.2785571,0.8,5.0,30.5
424.0 2022-03-18,422.76,3/18/2022,4.23,0.46832,0.02703,0.19559,-0.60485,0.02526,0.29951,570,5.21,424,0.003,1.24,4.44,11.1,150.0,0.8,5.0,30.5
425.0 2022-03-18,422.76,3/18/2022,4.23,0.44106,0.02705,0.19436,-0.59573,0.02392,0.29761,1560,4.75,425,0.005,2.24,4.07,11.1,172.7272727,0.8,5.0,30.5
426.0 2022-03-18,422.76,3/18/2022,4.23,0.41299,0.02686,0.19125,-0.58151,0.02277,0.29384,608,4.25,426,0.008,3.24,3.62,9.67,167.1270718,0.8,5.0,30.5
427.0 2022-03-18,422.76,3/18/2022,4.23,0.3855,0.02664,0.18857,-0.56576,0.02082,0.2914,546,3.97,427,0.01,4.24,3.22,8.69,169.8757764,0.8,5.0,30.5
428.0 2022-03-18,422.76,3/18/2022,4.23,0.35784,0.02631,0.18405,-0.54562,0.01943,0.28832,780,3.41,428,0.012,5.24,2.95,8.05,172.8813559,0.8,5.0,30.5
429.0 2022-03-18,422.76,3/18/2022,4.23,0.3305,0.02579,0.1784,-0.52222,0.01799,0.28526,410,3.2,429,0.015,6.24,2.52,7.14,183.3333333,0.8,5.0,30.5
430.0 2022-03-18,422.76,3/18/2022,4.23,0.3041,0.0251,0.1724,-0.49859,0.01683,0.28274,3254,2.66,430,0.017,7.24,2.17,6.67,207.3732719,0.8,5.0,30.5
431.0 2022-03-18,422.76,3/18/2022,4.23,0.278,0.02426,0.16565,-0.4736,0.01498,0.2813,373,2.42,431,0.019,8.24,1.9,5.77,203.6842105,0.8,5.0,30.5
432.0 2022-03-18,422.76,3/18/2022,4.23,0.25275,0.02335,0.15744,-0.44415,0.01397,0.27783,317,2.07,432,0.022,9.24,1.69,5.27,211.8343195,0.8,5.0,30.5
433.0 2022-03-18,422.76,3/18/2022,4.23,0.22884,0.02223,0.14938,-0.41549,0.01315,0.27657,781,1.8,433,0.024,10.24,1.47,4.54,208.8435374,0.8,5.0,30.5
434.0 2022-03-18,422.76,3/18/2022,4.23,0.20536,0.02105,0.14077,-0.38558,0.0116,0.2737,292,1.55,434,0.027,11.24,1.32,3.92,196.969697,0.8,5.0,30.5
435.0 2022-03-18,422.76,3/18/2022,4.23,0.18479,0.0198,0.13119,-0.35601,0.01061,0.27248,1121,1.32,435,0.029,12.24,1.09,3.35,207.3394495,0.8,5.0,30.5
418.0 2022-03-18,424.3,3/18/2022,4.21,0.66121,0.02369,0.18062,-0.57602,0.03405,0.31491,644,9.3,418,0.015,-6.3,7.76,16.46,112.1134021,0.8,5.0,30.16
419.0 2022-03-18,424.3,3/18/2022,4.21,0.63979,0.02475,0.18439,-0.57855,0.03338,0.30816,1311,8.79,419,0.012,-5.3,7.05,15.33,117.4468085,0.8,5.0,30.16
420.0 2022-03-18,424.3,3/18/2022,4.21,0.61406,0.02527,0.18871,-0.59412,0.03191,0.30855,1585,8.25,420,0.01,-4.3,6.41,15.0,134.0093604,0.8,5.0,30.16
421.0 2022-03-18,424.3,3/18/2022,4.21,0.58809,0.02579,0.19184,-0.60588,0.03117,0.30757,1587,7.41,421,0.008,-3.3,5.98,13.74,129.7658863,0.8,5.0,30.16
422.0 2022-03-18,424.3,3/18/2022,4.21,0.56346,0.02636,0.19397,-0.60658,0.03021,0.30363,1763,6.74,422,0.005,-2.3,5.48,13.11,139.2335766,0.8,5.0,30.16
423.0 2022-03-18,424.3,3/18/2022,4.21,0.53651,0.02676,0.19536,-0.6089,0.02845,0.30135,1758,6.44,423,0.003,-1.3,4.99,11.94,139.2785571,0.8,5.0,30.16
424.0 2022-03-18,424.3,3/18/2022,4.21,0.51009,0.02743,0.19665,-0.6056,0.02726,0.29767,1295,5.79,424,0.001,-0.3,4.44,11.1,150.0,0.8,5.0,30.16
425.0 2022-03-18,424.3,3/18/2022,4.21,0.48172,0.02752,0.19608,-0.59894,0.02577,0.29467,2498,5.23,425,0.002,0.7,4.07,11.1,172.7272727,0.8,5.0,30.16
426.0 2022-03-18,424.3,3/18/2022,4.21,0.4536,0.02768,0.19587,-0.58878,0.02476,0.29128,1086,4.85,426,0.004,1.7,3.62,9.67,167.1270718,0.8,5.0,30.16
427.0 2022-03-18,424.3,3/18/2022,4.21,0.42631,0.02763,0.19291,-0.57719,0.02301,0.28856,962,4.13,427,0.006,2.7,3.22,8.69,169.8757764,0.8,5.0,30.16
428.0 2022-03-18,424.3,3/18/2022,4.21,0.39717,0.02748,0.19,-0.56131,0.02145,0.28493,1262,3.85,428,0.009,3.7,2.95,8.05,172.8813559,0.8,5.0,30.16
429.0 2022-03-18,424.3,3/18/2022,4.21,0.36948,0.02712,0.18631,-0.54381,0.02083,0.28263,753,3.35,429,0.011,4.7,2.52,7.14,183.3333333,0.8,5.0,30.16
430.0 2022-03-18,424.3,3/18/2022,4.21,0.34132,0.02669,0.18129,-0.52103,0.01872,0.27911,4064,3.05,430,0.013,5.7,2.17,6.67,207.3732719,0.8,5.0,30.16
431.0 2022-03-18,424.3,3/18/2022,4.21,0.313,0.02598,0.17532,-0.49798,0.01723,0.277,541,2.63,431,0.016,6.7,1.9,5.77,203.6842105,0.8,5.0,30.16
432.0 2022-03-18,424.3,3/18/2022,4.21,0.28658,0.02522,0.16812,-0.47035,0.01552,0.27374,505,2.25,432,0.018,7.7,1.69,5.27,211.8343195,0.8,5.0,30.16
433.0 2022-03-18,424.3,3/18/2022,4.21,0.26017,0.02421,0.1604,-0.44227,0.0147,0.27118,869,1.95,433,0.021,8.7,1.47,4.54,208.8435374,0.8,5.0,30.16
434.0 2022-03-18,424.3,3/18/2022,4.21,0.23552,0.02311,0.15219,-0.41522,0.01293,0.26986,691,1.71,434,0.023,9.7,1.32,3.92,196.969697,0.8,5.0,30.16
435.0 2022-03-18,424.3,3/18/2022,4.21,0.21153,0.02192,0.14277,-0.38597,0.01199,0.26753,1485,1.51,435,0.025,10.7,1.09,3.35,207.3394495,0.8,5.0,30.16
418.0 2022-03-18,422.28,3/18/2022,4.19,0.60983,0.02437,0.18817,-0.62435,0.03148,0.32272,649,8.58,418,0.01,-4.28,7.76,16.46,112.1134021,0.8,5.0,30.7
419.0 2022-03-18,422.28,3/18/2022,4.19,0.58669,0.02538,0.19034,-0.61993,0.03061,0.31531,1320,7.67,419,0.008,-3.28,7.05,15.33,117.4468085,0.8,5.0,30.7
420.0 2022-03-18,422.28,3/18/2022,4.19,0.56186,0.02589,0.19312,-0.6235,0.02999,0.31228,1740,7.16,420,0.005,-2.28,6.41,15.0,134.0093604,0.8,5.0,30.7
421.0 2022-03-18,422.28,3/18/2022,4.19,0.53615,0.02644,0.1948,-0.62131,0.02839,0.30794,1935,6.55,421,0.003,-1.28,5.98,13.74,129.7658863,0.8,5.0,30.7
422.0 2022-03-18,422.28,3/18/2022,4.19,0.50959,0.02686,0.19517,-0.62177,0.02701,0.30679,2102,6.0,422,0.001,-0.28,5.48,13.11,139.2335766,0.8,5.0,30.7
423.0 2022-03-18,422.28,3/18/2022,4.19,0.48186,0.02692,0.19486,-0.61447,0.02612,0.30308,2185,5.38,423,0.002,0.72,4.99,11.94,139.2785571,0.8,5.0,30.7
424.0 2022-03-18,422.28,3/18/2022,4.19,0.45472,0.02714,0.19365,-0.60505,0.02462,0.29922,1702,4.93,424,0.004,1.72,4.44,11.1,150.0,0.8,5.0,30.7
425.0 2022-03-18,422.28,3/18/2022,4.19,0.4265,0.02712,0.19226,-0.59167,0.02266,0.29549,2965,4.47,425,0.006,2.72,4.07,11.1,172.7272727,0.8,5.0,30.7
426.0 2022-03-18,422.28,3/18/2022,4.19,0.39862,0.02699,0.18938,-0.57433,0.02147,0.29178,1673,3.99,426,0.009,3.72,3.62,9.67,167.1270718,0.8,5.0,30.7
427.0 2022-03-18,422.28,3/18/2022,4.19,0.37134,0.02674,0.18528,-0.55523,0.02041,0.28884,1147,3.57,427,0.011,4.72,3.22,8.69,169.8757764,0.8,5.0,30.7
428.0 2022-03-18,422.28,3/18/2022,4.19,0.34397,0.02614,0.18029,-0.53633,0.01851,0.28778,1402,3.22,428,0.014,5.72,2.95,8.05,172.8813559,0.8,5.0,30.7
429.0 2022-03-18,422.28,3/18/2022,4.19,0.31609,0.02568,0.17387,-0.50964,0.01688,0.28288,977,2.8,429,0.016,6.72,2.52,7.14,183.3333333,0.8,5.0,30.7
430.0 2022-03-18,422.28,3/18/2022,4.19,0.2888,0.02483,0.16796,-0.48397,0.01554,0.28094,4519,2.46,430,0.018,7.72,2.17,6.67,207.3732719,0.8,5.0,30.7
431.0 2022-03-18,422.28,3/18/2022,4.19,0.26424,0.02397,0.16024,-0.45776,0.01436,0.27877,712,2.2,431,0.021,8.72,1.9,5.77,203.6842105,0.8,5.0,30.7
432.0 2022-03-18,422.28,3/18/2022,4.19,0.23983,0.02289,0.1519,-0.43044,0.01288,0.2779,665,1.93,432,0.023,9.72,1.69,5.27,211.8343195,0.8,5.0,30.7
433.0 2022-03-18,422.28,3/18/2022,4.19,0.21546,0.02177,0.14352,-0.39876,0.01157,0.27439,976,1.62,433,0.025,10.72,1.47,4.54,208.8435374,0.8,5.0,30.7
434.0 2022-03-18,422.28,3/18/2022,4.19,0.19358,0.0205,0.1343,-0.36884,0.01092,0.27228,1054,1.37,434,0.028,11.72,1.32,3.92,196.969697,0.8,5.0,30.7
435.0 2022-03-18,422.28,3/18/2022,4.19,0.1714,0.0193,0.12523,-0.3352,0.00912,0.26988,1714,1.22,435,0.03,12.72,1.09,3.35,207.3394495,0.8,5.0,30.7
418.0 2022-03-18,420.45,3/18/2022,4.17,0.56633,0.0257,0.19111,-0.62821,0.02907,0.31554,735,7.13,418,0.006,-2.45,7.76,16.46,112.1134021,0.8,5.0,30.97
419.0 2022-03-18,420.45,3/18/2022,4.17,0.54062,0.02613,0.19294,-0.62906,0.02803,0.31287,1503,6.59,419,0.003,-1.45,7.05,15.33,117.4468085,0.8,5.0,30.97
420.0 2022-03-18,420.45,3/18/2022,4.17,0.51387,0.02673,0.19382,-0.62637,0.027,0.30905,2513,6.1,420,0.001,-0.45,6.41,15.0,134.0093604,0.8,5.0,30.97
421.0 2022-03-18,420.45,3/18/2022,4.17,0.48667,0.02677,0.1944,-0.62097,0.02577,0.30596,2668,5.48,421,0.001,0.55,5.98,13.74,129.7658863,0.8,5.0,30.97
422.0 2022-03-18,420.45,3/18/2022,4.17,0.45983,0.0269,0.19337,-0.61273,0.02483,0.30363,2499,5.0,422,0.004,1.55,5.48,13.11,139.2335766,0.8,5.0,30.97
423.0 2022-03-18,420.45,3/18/2022,4.17,0.43172,0.02705,0.19127,-0.60021,0.02301,0.29989,2950,4.48,423,0.006,2.55,4.99,11.94,139.2785571,0.8,5.0,30.97
424.0 2022-03-18,420.45,3/18/2022,4.17,0.40435,0.02682,0.18902,-0.58483,0.02203,0.29691,2109,4.02,424,0.008,3.55,4.44,11.1,150.0,0.8,5.0,30.97
425.0 2022-03-18,420.45,3/18/2022,4.17,0.3773,0.02655,0.18448,-0.56801,0.02016,0.29384,3335,3.7,425,0.011,4.55,4.07,11.1,172.7272727,0.8,5.0,30.97
426.0 2022-03-18,420.45,3/18/2022,4.17,0.34982,0.02614,0.18056,-0.54695,0.01855,0.29119,1889,3.26,426,0.013,5.55,3.62,9.67,167.1270718,0.8,5.0,30.97
427.0 2022-03-18,420.45,3/18/2022,4.17,0.32213,0.02559,0.17484,-0.52337,0.01737,0.28813,1667,2.84,427,0.016,6.55,3.22,8.69,169.8757764,0.8,5.0,30.97
428.0 2022-03-18,420.45,3/18/2022,4.17,0.29603,0.02479,0.16807,-0.49896,0.01642,0.28624,1674,2.57,428,0.018,7.55,2.95,8.05,172.8813559,0.8,5.0,30.97
429.0 2022-03-18,420.45,3/18/2022,4.17,0.27003,0.02397,0.16127,-0.47046,0.01444,0.28348,1120,2.21,429,0.02,8.55,2.52,7.14,183.3333333,0.8,5.0,30.97
430.0 2022-03-18,420.45,3/18/2022,4.17,0.24512,0.02301,0.15348,-0.44157,0.01316,0.28151,5626,1.93,430,0.023,9.55,2.17,6.67,207.3732719,0.8,5.0,30.97
431.0 2022-03-18,420.45,3/18/2022,4.17,0.22105,0.02188,0.14527,-0.41071,0.01201,0.27875,901,1.75,431,0.025,10.55,1.9,5.77,203.6842105,0.8,5.0,30.97
432.0 2022-03-18,420.45,3/18/2022,4.17,0.19968,0.02067,0.1362,-0.38216,0.01115,0.27741,904,1.44,432,0.027,11.55,1.69,5.27,211.8343195,0.8,5.0,30.97
433.0 2022-03-18,420.45,3/18/2022,4.17,0.17803,0.01942,0.12738,-0.35088,0.01031,0.27511,1088,1.25,433,0.03,12.55,1.47,4.54,208.8435374,0.8,5.0,30.97
434.0 2022-03-18,420.45,3/18/2022,4.17,0.15866,0.01814,0.11772,-0.32213,0.0085,0.27375,1177,1.05,434,0.032,13.55,1.32,3.92,196.969697,0.8,5.0,30.97
435.0 2022-03-18,420.45,3/18/2022,4.17,0.14027,0.0168,0.10896,-0.2923,0.00799,0.27199,1972,0.93,435,0.035,14.55,1.09,3.35,207.3394495,0.8,5.0,30.97
418.0 2022-03-18,419.81,3/18/2022,4.15,0.54943,0.02609,0.19165,-0.62876,0.02811,0.31286,868,6.86,418,0.004,-1.81,7.76,16.46,112.1134021,0.8,5.0,31.17
419.0 2022-03-18,419.81,3/18/2022,4.15,0.52316,0.02646,0.19281,-0.63027,0.02725,0.31105,1760,6.27,419,0.002,-0.81,7.05,15.33,117.4468085,0.8,5.0,31.17
420.0 2022-03-18,419.81,3/18/2022,4.15,0.4963,0.02666,0.19342,-0.62669,0.0264,0.30909,4309,5.75,420,0.0,0.19,6.41,15.0,134.0093604,0.8,5.0,31.17
421.0 2022-03-18,419.81,3/18/2022,4.15,0.46915,0.027,0.19259,-0.6168,0.02532,0.30463,3375,5.18,421,0.003,1.19,5.98,13.74,129.7658863,0.8,5.0,31.17
422.0 2022-03-18,419.81,3/18/2022,4.15,0.44255,0.02698,0.19148,-0.60745,0.0231,0.30166,2835,4.66,422,0.005,2.19,5.48,13.11,139.2335766,0.8,5.0,31.17
423.0 2022-03-18,419.81,3/18/2022,4.15,0.4148,0.02691,0.18877,-0.59341,0.02235,0.299,3371,4.21,423,0.008,3.19,4.99,11.94,139.2785571,0.8,5.0,31.17
424.0 2022-03-18,419.81,3/18/2022,4.15,0.387,0.02664,0.18602,-0.57716,0.02033,0.29664,2331,3.77,424,0.01,4.19,4.44,11.1,150.0,0.8,5.0,31.17
425.0 2022-03-18,419.81,3/18/2022,4.15,0.35958,0.02633,0.18179,-0.55874,0.01911,0.29429,3846,3.36,425,0.012,5.19,4.07,11.1,172.7272727,0.8,5.0,31.17
426.0 2022-03-18,419.81,3/18/2022,4.15,0.33234,0.02582,0.17641,-0.53444,0.01798,0.29028,2086,3.0,426,0.015,6.19,3.62,9.67,167.1270718,0.8,5.0,31.17
427.0 2022-03-18,419.81,3/18/2022,4.15,0.30543,0.02511,0.16972,-0.50923,0.01604,0.28769,1763,2.64,427,0.017,7.19,3.22,8.69,169.8757764,0.8,5.0,31.17
428.0 2022-03-18,419.81,3/18/2022,4.15,0.27979,0.02435,0.1633,-0.48341,0.01478,0.28538,1803,2.33,428,0.02,8.19,2.95,8.05,172.8813559,0.8,5.0,31.17
429.0 2022-03-18,419.81,3/18/2022,4.15,0.25353,0.02338,0.15539,-0.45391,0.01334,0.28309,1500,2.01,429,0.022,9.19,2.52,7.14,183.3333333,0.8,5.0,31.17
430.0 2022-03-18,419.81,3/18/2022,4.15,0.22985,0.02229,0.14774,-0.42404,0.01241,0.28048,6949,1.76,430,0.024,10.19,2.17,6.67,207.3732719,0.8,5.0,31.17
431.0 2022-03-18,419.81,3/18/2022,4.15,0.20676,0.02111,0.13902,-0.39476,0.01086,0.27906,983,1.53,431,0.027,11.19,1.9,5.77,203.6842105,0.8,5.0,31.17
432.0 2022-03-18,419.81,3/18/2022,4.15,0.18604,0.01993,0.1304,-0.36547,0.01019,0.27767,1003,1.32,432,0.029,12.19,1.69,5.27,211.8343195,0.8,5.0,31.17
433.0 2022-03-18,419.81,3/18/2022,4.15,0.16592,0.01867,0.12077,-0.33554,0.00893,0.27642,1253,1.14,433,0.031,13.19,1.47,4.54,208.8435374,0.8,5.0,31.17
434.0 2022-03-18,419.81,3/18/2022,4.15,0.14747,0.01731,0.11147,-0.30486,0.00811,0.27434,1219,0.98,434,0.034,14.19,1.32,3.92,196.969697,0.8,5.0,31.17
435.0 2022-03-18,419.81,3/18/2022,4.15,0.12987,0.01591,0.10269,-0.27686,0.007,0.27334,2229,0.84,435,0.036,15.19,1.09,3.35,207.3394495,0.8,5.0,31.17
418.0 2022-03-18,417.86,3/18/2022,4.12,0.49836,0.02595,0.19186,-0.64781,0.02599,0.31968,1393,6.15,418,0.0,0.14,7.76,16.46,112.1134021,0.8,5.0,31.87
419.0 2022-03-18,417.86,3/18/2022,4.12,0.47274,0.0261,0.19145,-0.64319,0.02523,0.31786,2458,5.52,419,0.003,1.14,7.05,15.33,117.4468085,0.8,5.0,31.87
420.0 2022-03-18,417.86,3/18/2022,4.12,0.44572,0.02612,0.19031,-0.6332,0.02351,0.31445,6422,4.97,420,0.005,2.14,6.41,15.0,134.0093604,0.8,5.0,31.87
421.0 2022-03-18,417.86,3/18/2022,4.12,0.41889,0.02619,0.18828,-0.61648,0.02233,0.31037,4065,4.61,421,0.008,3.14,5.98,13.74,129.7658863,0.8,5.0,31.87
422.0 2022-03-18,417.86,3/18/2022,4.12,0.39187,0.02599,0.18496,-0.6007,0.02128,0.30773,3205,4.17,422,0.01,4.14,5.48,13.11,139.2335766,0.8,5.0,31.87
423.0 2022-03-18,417.86,3/18/2022,4.12,0.36538,0.02562,0.18083,-0.5808,0.01905,0.30438,4005,3.77,423,0.012,5.14,4.99,11.94,139.2785571,0.8,5.0,31.87
424.0 2022-03-18,417.86,3/18/2022,4.12,0.33857,0.02522,0.17666,-0.55915,0.01847,0.30202,2824,3.25,424,0.015,6.14,4.44,11.1,150.0,0.8,5.0,31.87
425.0 2022-03-18,417.86,3/18/2022,4.12,0.31259,0.02464,0.17033,-0.53477,0.01724,0.29854,4520,2.92,425,0.017,7.14,4.07,11.1,172.7272727,0.8,5.0,31.87
426.0 2022-03-18,417.86,3/18/2022,4.12,0.28676,0.02391,0.1637,-0.50639,0.01577,0.29609,2455,2.55,426,0.019,8.14,3.62,9.67,167.1270718,0.8,5.0,31.87
427.0 2022-03-18,417.86,3/18/2022,4.12,0.26199,0.02303,0.15696,-0.47966,0.01398,0.29363,2118,2.26,427,0.022,9.14,3.22,8.69,169.8757764,0.8,5.0,31.87
428.0 2022-03-18,417.86,3/18/2022,4.12,0.23773,0.02207,0.14908,-0.44865,0.01256,0.29077,1908,1.96,428,0.024,10.14,2.95,8.05,172.8813559,0.8,5.0,31.87
429.0 2022-03-18,417.86,3/18/2022,4.12,0.21589,0.02102,0.14105,-0.42055,0.01188,0.29029,2065,1.73,429,0.027,11.14,2.52,7.14,183.3333333,0.8,5.0,31.87
430.0 2022-03-18,417.86,3/18/2022,4.12,0.19435,0.01983,0.13259,-0.38842,0.0102,0.28728,8119,1.47,430,0.029,12.14,2.17,6.67,207.3732719,0.8,5.0,31.87
431.0 2022-03-18,417.86,3/18/2022,4.12,0.17421,0.01867,0.12391,-0.35952,0.00898,0.28615,1137,1.28,431,0.031,13.14,1.9,5.77,203.6842105,0.8,5.0,31.87
432.0 2022-03-18,417.86,3/18/2022,4.12,0.15561,0.01743,0.11524,-0.3303,0.00863,0.28518,1156,1.13,432,0.034,14.14,1.69,5.27,211.8343195,0.8,5.0,31.87
433.0 2022-03-18,417.86,3/18/2022,4.12,0.13757,0.01615,0.10664,-0.29931,0.00706,0.28273,1448,0.97,433,0.036,15.14,1.47,4.54,208.8435374,0.8,5.0,31.87
434.0 2022-03-18,417.86,3/18/2022,4.12,0.12246,0.01495,0.09767,-0.27355,0.0064,0.28253,1252,0.82,434,0.039,16.14,1.32,3.92,196.969697,0.8,5.0,31.87
435.0 2022-03-18,417.86,3/18/2022,4.12,0.10775,0.01363,0.0895,-0.24605,0.00629,0.28115,2388,0.72,435,0.041,17.14,1.09,3.35,207.3394495,0.8,5.0,31.87
418.0 2022-03-18,417.42,3/18/2022,4.1,0.48759,0.0259,0.19105,-0.65202,0.02548,0.3207,2045,5.75,418,0.001,0.58,7.76,16.46,112.1134021,0.8,5.0,32.16
419.0 2022-03-18,417.42,3/18/2022,4.1,0.46043,0.02606,0.19037,-0.64304,0.02451,0.31746,2754,5.23,419,0.004,1.58,7.05,15.33,117.4468085,0.8,5.0,32.16
420.0 2022-03-18,417.42,3/18/2022,4.1,0.43471,0.02614,0.18852,-0.63082,0.02281,0.31431,7328,4.72,420,0.006,2.58,6.41,15.0,134.0093604,0.8,5.0,32.16
421.0 2022-03-18,417.42,3/18/2022,4.1,0.4079,0.026,0.18633,-0.61645,0.0212,0.31183,4245,4.35,421,0.009,3.58,5.98,13.74,129.7658863,0.8,5.0,32.16
422.0 2022-03-18,417.42,3/18/2022,4.1,0.38034,0.02575,0.18335,-0.59856,0.02006,0.30838,3512,3.84,422,0.011,4.58,5.48,13.11,139.2335766,0.8,5.0,32.16
